No.,Date,Time,P.Time,AV Pyrometer,AV TC1,AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
187,02/10/2012,14:28:15,00:03:06,400,27,82,71,5.1,0.000,16.990,-0.360,0.00,0.00,-634.92,3.52,5.25,18.5,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
188,02/10/2012,14:28:16,00:03:07,400,27,82,71,4.9,0.000,16.990,-0.360,0.00,0.00,-634.92,3.52,5.25,18.5,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
189,02/10/2012,14:28:17,00:03:08,400,27,82,71,5.2,0.000,16.990,-0.360,0.00,0.00,-634.92,3.52,5.25,18.5,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
190,02/10/2012,14:28:18,00:03:09,400,27,83,72,4.8,0.000,16.990,-0.360,0.00,0.00,-634.92,3.53,5.25,18.5,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
191,02/10/2012,14:28:19,00:03:10,400,27,83,72,4.8,0.000,16.980,-0.370,0.00,0.00,-634.92,3.54,5.25,18.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
192,02/10/2012,14:28:20,00:03:11,400,27,83,72,4.8,0.000,16.980,-0.370,0.00,0.00,-634.92,3.54,5.25,18.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
193,02/10/2012,14:28:21,00:03:12,400,28,84,73,4.9,0.000,16.980,-0.370,0.00,0.00,-634.92,3.55,5.25,18.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
194,02/10/2012,14:28:22,00:03:13,400,28,85,73,4.9,0.000,16.970,-0.380,0.00,0.00,-634.92,3.55,5.25,18.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
195,02/10/2012,14:28:23,00:03:14,400,28,85,73,4.8,0.000,16.970,-0.380,0.00,0.00,-634.92,3.55,5.25,18.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
196,02/10/2012,14:28:24,00:03:15,400,28,85,73,4.9,0.000,16.970,-0.380,0.00,0.00,-634.92,3.56,5.24,18.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
197,02/10/2012,14:28:25,00:03:16,400,28,86,74,5.9,0.000,16.960,-0.390,0.00,0.00,-634.92,3.56,5.24,18.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
198,02/10/2012,14:28:26,00:03:17,400,28,86,74,5.7,0.000,16.960,-0.390,0.00,0.00,-634.92,3.56,5.24,18.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
199,02/10/2012,14:28:27,00:03:18,400,28,86,74,5.8,0.000,16.960,-0.390,0.00,0.00,-634.92,3.57,5.24,18.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
200,02/10/2012,14:28:28,00:03:19,400,29,87,75,5.6,0.000,16.960,-0.390,0.00,0.00,-634.92,3.58,5.24,18.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
201,02/10/2012,14:28:29,00:03:20,400,29,88,75,5.5,0.000,16.950,-0.400,0.00,0.00,-634.92,3.58,5.24,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
202,02/10/2012,14:28:30,00:03:21,400,29,88,75,5.4,0.000,16.950,-0.400,0.00,0.00,-634.92,3.58,5.23,18.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
203,02/10/2012,14:28:31,00:03:22,400,29,88,75,5.6,0.000,16.950,-0.400,0.00,0.00,-634.92,3.59,5.24,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
204,02/10/2012,14:28:32,00:03:23,400,29,88,75,5.6,0.000,16.950,-0.400,0.00,0.00,-634.92,3.59,5.24,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
205,02/10/2012,14:28:33,00:03:24,400,29,89,76,5.0,0.000,16.940,-0.410,0.00,0.00,-634.92,3.59,5.23,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
206,02/10/2012,14:28:34,00:03:25,400,29,89,76,5.3,0.000,16.940,-0.410,0.00,0.00,-634.92,3.59,5.24,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
207,02/10/2012,14:28:35,00:03:26,400,29,89,76,4.9,0.000,16.940,-0.410,0.00,0.00,-634.92,3.59,5.24,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
208,02/10/2012,14:28:36,00:03:27,400,29,90,76,5.1,0.000,16.940,-0.410,0.00,0.00,-634.92,3.60,5.24,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
209,02/10/2012,14:28:37,00:03:28,400,30,90,77,5.3,0.000,16.930,-0.420,0.00,0.00,-634.92,3.61,5.23,18.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
210,02/10/2012,14:28:38,00:03:29,400,30,91,77,5.9,0.000,16.930,-0.420,0.00,0.00,-634.92,3.61,5.23,18.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
211,02/10/2012,14:28:39,00:03:30,400,30,91,77,5.2,0.000,16.930,-0.420,0.00,0.00,-634.92,3.61,5.23,18.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
212,02/10/2012,14:28:40,00:03:31,400,30,91,77,5.3,0.000,16.930,-0.420,0.00,0.00,-634.92,3.62,5.24,18.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
213,02/10/2012,14:28:41,00:03:32,400,30,91,77,5.3,0.000,16.930,-0.420,0.00,0.00,-634.92,3.62,5.24,18.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
214,02/10/2012,14:28:42,00:03:33,400,30,92,77,4.9,0.000,16.920,-0.430,0.00,0.00,-634.92,3.63,5.24,19.0,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
215,02/10/2012,14:28:43,00:03:34,400,30,92,78,4.8,0.000,16.920,-0.430,0.00,0.00,-634.92,3.63,5.24,19.0,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
216,02/10/2012,14:28:44,00:03:35,400,31,92,78,4.9,0.000,16.920,-0.430,0.00,0.00,-634.92,3.63,5.24,19.0,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
217,02/10/2012,14:28:45,00:03:36,400,31,93,78,5.4,0.000,16.920,-0.430,0.00,0.00,-634.92,3.64,5.24,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
218,02/10/2012,14:28:46,00:03:37,400,31,93,78,5.2,0.000,16.920,-0.430,0.00,0.00,-634.92,3.64,5.24,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
219,02/10/2012,14:28:47,00:03:38,400,31,93,78,5.0,0.000,16.910,-0.440,0.00,0.00,-634.92,3.65,5.24,19.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
